lineId,nextLineId,text,dialogueName,speakerSpriteStr,choicesStr,choiceNextLineIdsStr,choiceColorsStr,,,,,,,
100,,,Moodle Pudding,BonnieUI_0.png,What was it again?@Scram!,101@102,FF0000@FF0000,,,,,,,
101,,,Moodle Pudding,BonnieUI_1.png,,,,,,,,,,
102,,,Moodle Pudding,BonnieUI_2.png,,,,,,,,,,
200,,,Player_Original,BonnieUI_3.png,106,106,,,,,,,,
201,,,NPC_COW_Green,BonnieUI_4.png,,,,,,,,,,
202,,,NPC_COW_Green,BonnieUI_5.png,,,,,,,,,,
203,,,NPC_COW_Green,BonnieUI_0.png,107@108@109,107@108@109,204,,,,,,,
204,,,Player_Original,BonnieUI_0.png,110@,110@,,,,,,,,
Cow_3,,,Player_Original,BonnieUI_0.png,111@,111@,,,,,,,,
Cow_3,,,Player_Original,BonnieUI_0.png,112@,112@,,,,,,,,
Cow_4,,,NPC_COW_Green,BonnieUI_0.png,,,,,,,,,,
Cow_4,,,NPC_COW_Green,BonnieUI_0.png,,,,,,,,,,
Cow_4,,,NPC_COW_Green,BonnieUI_0.png,,,,,,,,,,
Cow_5,,,,,,,,,,,,,,
